trajectory,family,method,tp,fp,fn,set_f1,model_calls,input_tokens,output_tokens,api_cost_usd,board_queries,executions,successful_receipts,selection_validation_failures,total_instructed_obligations,unique_obligations_ever_due,unique_obligations_blocked_at_trigger,completed_obligations,unfinished_including_canceled,unfinished_not_canceled,canceled_obligations,query_supported_successes
v2_hidden_91320,hidden,A0,3,0,0,1.0,13,21680,369,0.00507348,5,3,3,0,3,3,0,3,0,0,0,2
v2_hidden_91320,hidden,B_ledger,1,0,1,0.6666666666666666,19,74955,5640,0.01982985,1,1,1,2,3,2,1,1,2,2,0,1
v2_hidden_91320,hidden,A2,0,0,2,0.0,17,70995,5530,0.01984297,6,0,0,2,3,2,1,0,3,3,0,0
v2_hidden_91321,hidden,A0,3,0,0,1.0,13,21974,369,0.00514422,5,3,3,0,3,3,0,3,0,0,0,2
v2_hidden_91321,hidden,B_ledger,3,0,0,1.0,32,131742,3189,0.02872830,5,3,3,10,3,3,0,3,0,0,0,2
v2_hidden_91321,hidden,A2,1,1,1,0.5,17,71600,5241,0.01901748,5,2,1,1,3,2,1,1,2,2,0,1
v2_hidden_91322,hidden,A0,3,0,0,1.0,13,21682,369,0.00516906,5,3,3,0,3,3,0,3,0,0,0,2
v2_hidden_91322,hidden,B_ledger,1,0,1,0.6666666666666666,22,90226,5679,0.02266146,2,1,1,4,3,2,1,1,2,2,0,1
v2_hidden_91322,hidden,A2,3,0,0,1.0,18,74348,1960,0.01684132,7,3,3,2,3,3,0,3,0,0,0,2
v2_visible_events_91310,visible_events,A0,1,1,1,0.5,8,11645,214,0.00269287,0,2,1,0,2,2,0,1,1,1,0,0
v2_visible_events_91310,visible_events,B_ledger,2,1,0,0.8,18,63165,3565,0.01516771,0,3,2,0,2,2,0,2,0,0,0,0
v2_visible_events_91310,visible_events,A2,2,1,0,0.8,20,68330,3313,0.01612882,0,3,2,1,2,2,0,2,0,0,0,0
v2_visible_events_91311,visible_events,A0,1,1,1,0.5,8,11829,214,0.00263023,0,2,1,0,2,2,0,1,1,1,0,0
v2_visible_events_91311,visible_events,B_ledger,2,1,0,0.8,20,69157,3371,0.01612499,0,3,2,1,2,2,0,2,0,0,0,0
v2_visible_events_91311,visible_events,A2,2,0,0,1.0,21,74048,3624,0.01647168,0,2,2,0,2,2,0,2,0,0,0,0
v2_visible_events_91312,visible_events,A0,2,1,0,0.8,8,11667,212,0.00259313,0,3,2,0,2,2,0,2,0,0,0,0
v2_visible_events_91312,visible_events,B_ledger,2,1,0,0.8,19,64641,2836,0.01459531,0,3,2,0,2,2,0,2,0,0,0,0
v2_visible_events_91312,visible_events,A2,2,1,0,0.8,20,68010,3083,0.01556186,0,3,2,1,2,2,0,2,0,0,0,0
v2_cross_day_91331,cross_day,A0,2,3,0,0.5714285714285714,8,11184,220,0.00253984,0,5,2,0,2,2,0,2,0,0,0,0
v2_cross_day_91331,cross_day,B_ledger,0,1,1,0.0,22,74030,3860,0.01673738,0,1,0,1,2,1,1,0,2,2,0,0
v2_cross_day_91331,cross_day,A2,0,1,1,0.0,23,78388,3419,0.01737800,0,1,0,2,2,1,1,0,2,2,0,0
v2_cross_day_91332,cross_day,A0,2,0,0,1.0,9,12139,243,0.00261333,0,2,2,1,2,2,0,2,0,0,0,0
v2_cross_day_91332,cross_day,B_ledger,2,0,0,1.0,19,61519,3023,0.01443185,0,2,2,1,2,2,0,2,0,0,0,0
v2_cross_day_91332,cross_day,A2,0,0,1,0.0,23,79321,4024,0.01759555,0,0,0,4,2,1,1,0,2,2,0,0
v2_cross_day_91330,cross_day,A0,2,0,0,1.0,9,12154,243,0.00258282,0,2,2,1,2,2,0,2,0,0,0,0
v2_cross_day_91330,cross_day,B_ledger,2,0,0,1.0,21,74828,5969,0.01913096,0,2,2,1,2,2,0,2,0,0,0,0
v2_cross_day_91330,cross_day,A2,0,0,1,0.0,22,76309,4030,0.01772143,0,0,0,1,2,1,1,0,2,2,0,0
v2_revision_91301,revision,A0,1,0,0,1.0,9,13305,236,0.00303347,0,1,1,0,2,1,0,1,1,0,1,0
v2_revision_91301,revision,B_ledger,1,0,0,1.0,20,70328,2510,0.01484576,0,1,1,2,2,1,0,1,1,0,1,0
v2_revision_91301,revision,A2,1,0,0,1.0,18,62239,2784,0.01437861,0,1,1,0,2,1,0,1,1,0,1,0
v2_revision_91302,revision,A0,1,0,0,1.0,10,15369,256,0.00348115,0,1,1,0,2,1,0,1,1,0,1,0
v2_revision_91302,revision,B_ledger,1,0,0,1.0,18,62620,2390,0.01405292,0,1,1,1,2,1,0,1,1,0,1,0
v2_revision_91302,revision,A2,0,0,1,0.0,19,66515,3129,0.01476357,0,0,0,1,2,1,0,0,2,1,1,0
v2_revision_91300,revision,A0,1,0,0,1.0,9,13227,230,0.00292001,0,1,1,0,2,1,0,1,1,0,1,0
v2_revision_91300,revision,B_ledger,1,0,0,1.0,21,73529,2502,0.01581435,0,1,1,1,2,1,0,1,1,0,1,0
v2_revision_91300,revision,A2,1,1,0,0.6666666666666666,16,53437,2752,0.01300687,0,2,1,0,2,1,0,1,1,0,1,0
